Titulo,Idioma,Sinopsis,Fecha_estreno,Popularidad,Numero_votos,Promedio_votos,Presupuesto,Ingresos,Duracion,Generos,Pais_ estreno,Clasificacion,Director,Reparto,Lugares_ rodaje,Subgeneros
The Haunting of Alice D,Ingles,"In the late 1890s the Davenport House was a famous and successful brothel, until a young prostitute named Alice killed herself there. After her death, the brothel became haunted by Alice's ghost, and was eventually abandoned. More than a century later, the old structure is renovated into a beautiful mansion. It is still rumored to inhabit the ghost of Alice. Despite this, the new owner; the rich and arrogant heir to the Davenport fortune, decides to throw a wild party for his first night in the house.",2014-09-27,3.63,14,6.0,0,0,85,"Horror, Thriller",USA,NOT RATED,Jessica Sonneborn,Kane Hodder|Juan Riedinger|Al Snow|Megan Hensley|Aaron Massey|Kristina Page|Jessica Sonneborn|Julianne Tura|Michael Reed|Eliza Swenson|Josh Hammond|Chanel Ryan|Sarah Nicklin|Barry Ratcliffe|Kaylee Signore,Desconocido,Slasher
Helen Keller vs. Nightwolves,Ingles,Helen Keller vs. Nightwolves tells the shocking story of how a group of Nightwolves terrorized a tiny village taking people's hearing and eye sight... and the one woman who fought back.,2015-10-01,3.63,11,4.6,0,0,75,"Action, Comedy, Horror",USA,NOT RATED,Ross Patterson,Jessie Wiseman|Lin Shaye|Barry Bostwick|Alanna Ubach|Jesse Merlin|Ross Patterson|Jim O'Heir|Richard Riehle|Christine Lakin|Edi Patterson|Robert R. Shafer|Brendan McCarthy|Lindsay Lamb|Jean St. James|David Quane,"Los Angeles, California, USA",Terror cómico
Fatal Frame,Japones,"High school student Aya Tsukimori becomes cursed and is unable to leave her school dormitory. Meanwhile, many students begin reporting ghost sightings at the school, while others go missing and are later discovered to have drowned mysteriously. Soon, Aya attempts to communicate with fellow student Michi Kazato, who begins investigating the disappearances of her friends.",2014-09-26,3.624,30,5.8,0,0,104,Horror,Japan,NOT RATED,Mari Asato,Aoi Morikawa|Ayami Nakajô|Kôdai Asaka|Minori Hagiwara|Fujiko Kojima|Jun Miho|Karen Miyama|Noriko Nakagoshi|Yuri Nakamura|Kasumi Yamaya,Desconocido,Terror puro
Manhole,Coreano,A young girl is kidnapped by a serial killer. The serial killer uses manholes to kidnap and kill his victims. The young girl's older sister tries to save her before it's too late.,2014-10-08,3.623,38,5.7,0,0,101,"Horror, Thriller",South Korea,NOT RATED,Jae-Young Shin,Kyung-ho Jung|Yu-mi Jung|Sae-ron Kim|Dal-hwan Jo|Duk-moon Choi|Young Yo Lee,Desconocido,Slasher
House of Flesh Mannequins,Ingles,A loner artist with a history of abuse meets a beautiful woman who takes an interest in his life and work; leading to a chilling path of tragedy.,2009-12-03,3.613,5,4.6,500000,0,100,"Drama, Horror",USA,UNRATED,Domiziano Cristopharo,Domiziano Arcangeli|Irena Violette|Giovanni Lombardo Radice|Roberta Gemma|Raffaella Baracchi|Armando Pizzuti|Jerred Berg|Hal Alpert|Diego Artioli|Lucia Batassa|Edoardo Beghi|Drevon Cooks|Jeff Doba|Michael Garamendi|Lejla Hadzimuratovic,"Los Angeles, California, USA",Terror psicológico
Go Goa Gone,Hindi,A rave party off the coast of Goa goes horrifyingly and hilariously wrong when the island is overrun with zombies.,2013-05-10,3.602,82,5.7,2700000,5400000,111,"Comedy, Horror",India,NOT RATED,"Krishna D.K., Raj Nidimoru",Saif Ali Khan|Kunal Khemu|Vir Das|Anand Tiwari|Puja Gupta|Hardik Malaviya|Soha Ali Khan|Pitobash|Suparn Verma,Desconocido,Terror cómico
The Redwood Massacre,Ingles,"​‘THE REDWOOD MASSACRE’ is about five adventurous friends, visiting the legendary murder site of Redwood. It has all the hallmarks of being an exciting and thrilling camping weekend away.  They soon discover they’re not the only people in the mysterious location. The fun camping expedition soon turns into a nightmare as they are sadistically stalked by a mysterious unseen killer.",2014-09-28,3.599,47,4.2,156660,0,82,Horror,USA,NOT RATED,David Ryan Keith,Mark Wood|Lisa Cameron|Lisa Livingstone|Rebecca Wilkie|Adam Coutts|Lee Hutcheon|Benjamin Selway|Alec Westwood|Liam Matheson|Morgan Faith Keith|Claire Bearn|Cheryl Bernard|Jamie Butler|Lindsay Cromar,"Battle Ground Paintball, Aberdeen, Scotland, UK",Terror puro
Headless,Ingles,"In this ""lost slasher film from 1978,"" a masked killer wages an unrelenting spree of murder, cannibalism, and necrophilia. But when his tortured past comes back to haunt him, he plunges to even greater depths of madness and depravity, consuming the lives of a young woman and those she holds dear.",2015-02-28,3.597,32,4.9,27000,0,86,Horror,USA,NOT RATED,Toby Lawrence,Emily Jackson|Brecht Andersch|Brett Mann|Will Manning|Thomas Poole|John Mounier|Christopher Campbell|Kevin Molohan|Patrick Ford|Erin Lawrence|Zoe Raines|Jenna Nuesse|Vanessa Hernandez,Desconocido,Terror puro
Among Friends,Ingles,"A twisted horror about a dinner party gone wrong. Set against an 80s backdrop, the good time takes a dark turn when one in the group hijacks the evening in an attempt to help the others come clean about their secret betrayals against one another–and is willing to cut through the bone in order to expose the truth.",2012-07-08,3.596,48,4.4,0,0,80,"Comedy, Horror",Netherlands,R,Danielle Harris,Alyssa Lobit|Jennifer Blanc-Biehn|Kamala Jones|AJ Bowen|Brianne Davis|Christopher Backus|Dana Daurey|Chris Meyer|Kane Hodder|Bryan Kirkwood|Denny Kirkwood|Amber West|Matthew Ziff|Lorraine Ziff|Nate Vormehr,"Los Angeles, California, USA",Terror cómico
Queen of Spades: The Dark Rite,Ruso,"There is an ancient ritual known to humankind for more than a hundred years...According to the legend, an ominous entity known as The Queen of Spades can be summoned by drawing a door and staircase on a mirror in the darkness, and by saying her name three times. The Queen of Spades gets her energy from reflective objects; she cuts locks of hair from those asleep, and those that see her go mad or die. Four teenagers decide to call The Queen of Spades as a joke. But when one of them dies of a sudden heart attack, the group realizes they are up against something inexplicable and deadly dangerous.",2015-09-10,3.595,57,5.3,1000000,2228115,94,Horror,USA,TV-14,Svyatoslav Podgaevskiy,Alina Babak|Valeriya Dmitrieva|Igor Khripunov|Evgeniya Loza|Sergey Pokhodaev|Valentin Sadiki|Vladimir Seleznyov,Desconocido,Terror puro
Bloody Bloody Bible Camp,Ingles,"In 1977 a group of young, horny, out of control Christians are spending a fun filled weekend at the mountain lakeside Happy Day Bible Camp. One by one these youthful sinners pay a BLOODY penance for their misdeeds. Flash forward 7 years, when another youth group of Bible toters return, lead by ""Father Richard Cummings"" (Reggie Bannister), ""Sister Mary Chopper,"" (Tim Sullivan) goes bloody murder after the camp - emphasis on CAMP - with stand out performances by folks like Gigi Bannister, Jessica Sonneborn, Troy Guthrie, Deborah Venegas, Jay Fields, and Jeff Dylan Graham. In the end, Bannister and Troup must face down the a transvestite serial killing nun in a fight to the death, and call upon the higher graces of the infamous Ron Jeremy as ""Jesus"" guide them through! A hilarious campy equal opportunity offensive film that will have you DIE laughing!",2012-05-25,3.593,29,4.7,0,0,90,"Comedy, Horror",USA,NOT RATED,Vito Trabucco,Reggie Bannister|Tim Sullivan|Ron Jeremy|Ivet Corvea|Matt Aidan|Jessica Sonneborn|Deborah Venegas|Jeff Dylan Graham|Elissa Dowling|David C. Hayes|Daniel Schweiger|Christopher Raff|Chris Staviski|Jay Fields|Troy Guthrie,"Crestline, California, USA",Terror cómico
Sociopathia,Ingles,"Introverted and peculiar, Mara spends her days fabricating props for movies. But her reclusive persona conceals an internal wrath. Terrified of being alone, Mara refuses to let her lovers leave, sadistically murdering them and keeping their corpses as living dolls. When she's hired by Kat, a fledgling producer, the two instantly hit it off. As their relationship grows more intense, Mara begins to lose her already fragile grip on reality. When her dolls begin demanding all of her attention, and Kat threatens to break her heart, Mara spirals into psychosis, leaving her no choice but to kill again.",2015-11-19,3.589,18,4.0,750000,0,86,Horror,USA,NOT RATED,"Ruby Larocca, Rich Mallery",Nicola Fiore|Asta Paredes|Ruby Larocca|Tammy Jean|George Stover|Rich Mallery|Nicolette le Faye|Brandy Noir|Desiree Saetia|Tabetha Ray|Matthew Garrett|Cori Dials|Sean Murray|Dante Rene|Nick Decarlo,"Baltimore, Maryland, USA",Terror puro
The Black Dahlia Haunting,Ingles,"While investigating the murder of her father by her blind younger brother, a young woman disturbs the vengeful spirit of Elizabeth Short, known in legend as ""The Black Dahlia"".",2012-09-15,3.587,23,5.2,2000,0,80,"Crime, Drama, Horror, Mystery",Canada,TV-14,Brandon Slagle,Devanny Pinn|Britt Griffith|Noah Dahl|Alexis Iacono|Cleve Hall|Brandon Slagle|Jessica Cameron|Sarah Nicklin|Daniel Murawka|Tori Rachael|Patrick W. Henry|Gabrielle Benson|Holly Griffith,"Los Angeles, California, USA",Terror psicológico
The Sleep Curse,Chino,"In 1990, Neurologist Lam Sik-ka and his former flame suffer from the generational sleep curse that rooted in their both families war engagement during World War Two. Lam Sik-ka tries to save her flame from the grudge.",2017-04-17,3.587,39,5.7,0,0,102,"Horror, Thriller",Hong Kong,NOT RATED,Herman Yau,Anthony Chau-Sang Wong|Michelle Wai|Jojo Goh|Ka Tung Lam|Bryant Ji-Lok Mak|Ikki Funaki,"George Town, Penang, Malaysia",Slasher
Ezra,Malayalam,An urban couple Ranjan Mathew and Priya have just moved to Kochi when powers of the supernatural start to take over their lives. How they tide over the forces forms the story.​,2017-02-10,3.586,29,5.9,1500000,7800000,147,"Horror, Thriller",India,NOT RATED,Jayakrishnan,Prithviraj Sukumaran|Priya Anand|Tovino Thomas|Sujith Sankar|Vijayaraghavan|Sudev Nair|Bharat Dabholkar|Ann Sheetal|Babu Antony|Prathap Pothen|Manikandan R. Achari|Thara Kalyan|Alencier Ley Lopez|Reina Maria|Rajesh Sharma,Desconocido,Slasher
